RowNum,sourceurl,monthyear,sqldate,nummentions,numsources,numarticles,eventcode,actor1name,actor1countrycode,actor2name,actor2countrycode
13,http://2016carsreview.net/2018/11/dogs-detect-malaria-by-sniffing-childrens-socks/,201811,20181101,2,1,2,071,PUBLICATION,,,
14,http://2016carsreview.net/2018/11/dogs-detect-malaria-by-sniffing-childrens-socks/,201811,20181101,8,1,8,071,PUBLICATION,,,
15,http://234vibesnews.com/2018/11/01/new-discovery-shows-that-dogs-can-sniff-malaria.html,201811,20181101,1,1,1,0214,,,VATICAN,VAT
16,http://234vibesnews.com/2018/11/01/new-discovery-shows-that-dogs-can-sniff-malaria.html,201811,20181101,4,1,4,0214,ORLANDO,USA,VATICAN,VAT
17,http://234vibesnews.com/2018/11/01/new-discovery-shows-that-dogs-can-sniff-malaria.html,201811,20181101,5,1,5,0214,POLICE,,VATICAN,VAT
18,http://234vibesnews.com/2018/11/01/new-discovery-shows-that-dogs-can-sniff-malaria.html,201811,20181101,10,1,10,051,INDUSTRY,,,
19,http://24.sapo.pt/article/lusa-sapo-pt_2016_04_03_1390696747_diretora-da-oms-em-luanda-para-ver-combate-as-epidemias-de-febre-amarela-e-malaria,201604,20160403,8,1,8,190,LUANDA,AGO,,
20,http://24.sapo.pt/article/lusa-sapo-pt_2016_04_03_1390696747_diretora-da-oms-em-luanda-para-ver-combate-as-epidemias-de-febre-amarela-e-malaria,201604,20160403,10,1,10,043,,,AFRICA,AFR
21,http://24.sapo.pt/article/lusa-sapo-pt_2016_04_03_1390696747_diretora-da-oms-em-luanda-para-ver-combate-as-epidemias-de-febre-amarela-e-malaria,201604,20160403,10,1,10,042,AFRICA,AFR,,
22,http://24.sapo.pt/article/lusa-sapo-pt_2016_04_03_1390696747_diretora-da-oms-em-luanda-para-ver-combate-as-epidemias-de-febre-amarela-e-malaria,201604,20160403,10,1,10,190,DOCTOR,,,
23,http://24.sapo.pt/article/lusa-sapo-pt_2016_04_03_1390696747_diretora-da-oms-em-luanda-para-ver-combate-as-epidemias-de-febre-amarela-e-malaria,201604,20160403,10,1,10,190,DOCTOR,,LUANDA,AGO
24,http://24.sapo.pt/article/lusa-sapo-pt_2016_04_03_1390696747_diretora-da-oms-em-luanda-para-ver-combate-as-epidemias-de-febre-amarela-e-malaria,201604,20160403,10,1,10,020,MINIST OF HEALTH,,,
25,http://24.sapo.pt/atualidade/artigos/cabo-verde-intensifica-combate-aos-mosquitos-apos-recorde-de-casos-de-malaria,201709,20170910,6,1,6,020,POPULATION,,,
26,http://24.sapo.pt/atualidade/artigos/cabo-verde-intensifica-combate-aos-mosquitos-apos-recorde-de-casos-de-malaria,201709,20170910,6,1,6,190,POPULATION,,,
27,http://24.sapo.pt/atualidade/artigos/ong-angolana-preocupada-com-aumento-de-casos-de-malaria-sida-e-tuberculose,201710,20171005,10,1,10,012,ANGOLA,AGO,,
28,http://247.libero.it/focus/42236519/14/malaria-in-italia-il-documento-del-ministero-della-salute/,201709,20170907,10,1,10,061,,,CARRIER,
29,http://24tanzania.com/malaria-seen-declining-in-tanzania/,201602,20160220,5,1,5,060,TANZANIA,TZA,,
30,http://24tanzania.com/malaria-seen-declining-in-tanzania/,201602,20160220,5,1,5,010,TANZANIA,TZA,,
31,http://24tanzania.com/malaria-seen-declining-in-tanzania/,201602,20160220,5,1,5,020,PRESIDENT,,,
32,http://24tanzania.com/malaria-seen-declining-in-tanzania/,201602,20160220,5,1,5,120,DAR ES SALAAM,TZA,,
33,http://24tanzania.com/malaria-seen-declining-in-tanzania/,201602,20160220,5,1,5,120,HUSSEIN MWINYI,TZA,DAR ES SALAAM,TZA
34,http://24tanzania.com/malaria-seen-declining-in-tanzania/,201602,20160220,10,1,10,110,COMPANY,,HOSPITAL,
35,http://24tanzania.com/malaria-seen-declining-in-tanzania/,201602,20160220,10,1,10,040,COMPANY,,DOCTOR,
36,http://702.co.za/articles/4967/how-nando-s-founder-robbie-brozin-is-battling-to-rid-africa-of-malaria,201509,20150903,2,1,2,111,AFRICA,AFR,MOZAMBIQUE,MOZ
37,http://702.co.za/articles/4967/how-nando-s-founder-robbie-brozin-is-battling-to-rid-africa-of-malaria,201509,20150903,2,1,2,111,AFRICA,AFR,MOZAMBIQUE,MOZ
38,http://702.co.za/articles/4967/how-nando-s-founder-robbie-brozin-is-battling-to-rid-africa-of-malaria,201509,20150903,2,1,2,190,AFRICA,AFR,,
39,http://702.co.za/articles/4967/how-nando-s-founder-robbie-brozin-is-battling-to-rid-africa-of-malaria,201509,20150903,6,1,6,111,MOZAMBIQUE,MOZ,,
40,http://780am.com.py/paraguay-esta-en-condiciones-de-ser-declarado-libre-de-malaria/,201603,20160301,10,1,10,013,PARAGUAYAN,PRY,,
41,http://780am.com.py/paraguay-esta-en-condiciones-de-ser-declarado-libre-de-malaria/,201603,20160301,18,1,10,030,PARAGUAYAN,PRY,,
42,http://7thspace.com/headlines/504618/management_of_severe_paediatric_malaria_in_resource_limited_settings.html,201503,20150303,5,1,5,050,PUBLICATION,,AFRICA,AFR
43,http://7thspace.com/headlines/504785/sibling_species_of_the_anopheles_funestus_group_and_their_infection_with_malaria_and_lymphatic_filarial_parasites_in_archived_and_newly_collected_specimens_from_northeastern_tanzania.html,201503,20150307,5,1,5,120,AFRICA,AFR,,
44,http://7thspace.com/headlines/507066/characterization_of_imported_malaria_the_largest_threat_to_sustained_malaria_elimination_from_sri_lanka.html,201504,20150423,5,1,5,061,,,SRI LANKA,LKA
45,http://7thspace.com/headlines/507066/characterization_of_imported_malaria_the_largest_threat_to_sustained_malaria_elimination_from_sri_lanka.html,201504,20150423,5,1,5,130,SRI LANKA,LKA,,
46,http://7thspace.com/headlines/508514/microgeography_and_molecular_epidemiology_of_malaria_at_the_thailand_myanmar_border_in_the_malaria_pre_elimination_phase.html,201505,20150512,10,1,10,061,THAILAND,THA,MYANMAR,MMR
47,http://7thspace.com/headlines/509056/global_call_to_action_maximize_the_public_health_impact_of_intermittent_preventive_treatment_of_malaria_in_pregnancy_in_sub_saharan_africa.html,201505,20150520,5,1,5,020,AFRICA,AFR,,
48,http://7thspace.com/headlines/511354/preventing_malaria_transmission_by_indoor_residual_spraying_in_malawi_grappling_with_the_challenge_of_uncertain_sustainability.html,201506,20150623,10,1,10,071,MALAWI,MWI,,
49,http://7thspace.com/headlines/511355/human_biting_activity_spatialtemporal_distribution_and_malaria_vector_role_of_anopheles_calderoni_in_the_southwest_of_colombia.html,201506,20150623,10,1,10,010,COLOMBIA,COL,,
50,http://7thspace.com/headlines/513434/design_of_a_study_to_determine_the_impact_of_insecticide_resistance_on_malaria_vector_control_a_multi_country_investigation.html,201507,20150721,2,1,2,036,BENIN,BEN,KENYA,KEN
51,http://7thspace.com/headlines/513434/design_of_a_study_to_determine_the_impact_of_insecticide_resistance_on_malaria_vector_control_a_multi_country_investigation.html,201507,20150721,2,1,2,036,BENIN,BEN,SUDAN,SDN
52,http://7thspace.com/headlines/513434/design_of_a_study_to_determine_the_impact_of_insecticide_resistance_on_malaria_vector_control_a_multi_country_investigation.html,201507,20150721,2,1,2,036,BENIN,BEN,CAMEROON,CMR
53,http://7thspace.com/headlines/513434/design_of_a_study_to_determine_the_impact_of_insecticide_resistance_on_malaria_vector_control_a_multi_country_investigation.html,201507,20150721,2,1,2,036,KENYA,KEN,BENIN,BEN
54,http://7thspace.com/headlines/513434/design_of_a_study_to_determine_the_impact_of_insecticide_resistance_on_malaria_vector_control_a_multi_country_investigation.html,201507,20150721,2,1,2,036,CAMEROON,CMR,BENIN,BEN
55,http://7thspace.com/headlines/513434/design_of_a_study_to_determine_the_impact_of_insecticide_resistance_on_malaria_vector_control_a_multi_country_investigation.html,201507,20150721,8,1,8,036,BENIN,BEN,CAMEROON,CMR
56,http://7thspace.com/headlines/513434/design_of_a_study_to_determine_the_impact_of_insecticide_resistance_on_malaria_vector_control_a_multi_country_investigation.html,201507,20150721,8,1,8,036,BENIN,BEN,KENYA,KEN
57,http://7thspace.com/headlines/513434/design_of_a_study_to_determine_the_impact_of_insecticide_resistance_on_malaria_vector_control_a_multi_country_investigation.html,201507,20150721,8,1,8,036,BENIN,BEN,SUDAN,SDN
58,http://7thspace.com/headlines/513434/design_of_a_study_to_determine_the_impact_of_insecticide_resistance_on_malaria_vector_control_a_multi_country_investigation.html,201507,20150721,8,1,8,036,KENYA,KEN,BENIN,BEN
59,http://7thspace.com/headlines/513434/design_of_a_study_to_determine_the_impact_of_insecticide_resistance_on_malaria_vector_control_a_multi_country_investigation.html,201507,20150721,8,1,8,036,CAMEROON,CMR,BENIN,BEN
60,http://7thspace.com/headlines/513434/design_of_a_study_to_determine_the_impact_of_insecticide_resistance_on_malaria_vector_control_a_multi_country_investigation.html,201507,20150721,10,1,10,036,SUDAN,SDN,BENIN,BEN
61,http://7thspace.com/headlines/514524/malaria_policy_advisory_committee_to_the_who_conclusions_and_recommendations_of_seventh_biannual_meeting_march_2015.html,201508,20150804,10,1,10,040,GENEVA,CHE,WORLD HEALTH ORGANIZATION,
62,http://7thspace.com/headlines/514524/malaria_policy_advisory_committee_to_the_who_conclusions_and_recommendations_of_seventh_biannual_meeting_march_2015.html,201508,20150804,10,1,10,046,GENEVA,CHE,WORLD HEALTH ORGANIZATION,
63,http://7thspace.com/headlines/514524/malaria_policy_advisory_committee_to_the_who_conclusions_and_recommendations_of_seventh_biannual_meeting_march_2015.html,201508,20150804,10,1,10,046,WORLD HEALTH ORGANIZATION,,GENEVA,CHE
64,http://7thspace.com/headlines/514524/malaria_policy_advisory_committee_to_the_who_conclusions_and_recommendations_of_seventh_biannual_meeting_march_2015.html,201508,20150804,10,1,10,040,WORLD HEALTH ORGANIZATION,,GENEVA,CHE
65,http://7thspace.com/headlines/518671/antibodies_to_plasmodium_falciparum_merozoite_surface_protein_1p19_malaria_vaccine_candidate_induce_antibody_dependent_respiratory_burst_in_human_neutrophils.html,201510,20151015,4,1,4,110,SENEGALESE,SEN,SENEGAL,SEN
66,http://7thspace.com/headlines/518671/antibodies_to_plasmodium_falciparum_merozoite_surface_protein_1p19_malaria_vaccine_candidate_induce_antibody_dependent_respiratory_burst_in_human_neutrophils.html,201510,20151015,6,1,6,110,SENEGALESE,SEN,,
67,http://7thspace.com/headlines/520061/progress_toward_malaria_elimination_in_jazan_province_kingdom_of_saudi_arabia_20002014.html,201511,20151109,10,1,10,061,,,YEMEN,YEM
68,http://7thspace.com/headlines/520061/progress_toward_malaria_elimination_in_jazan_province_kingdom_of_saudi_arabia_20002014.html,201511,20151109,10,1,10,130,YEMEN,YEM,,
69,http://Sigalonenvironment.soup.io/post/616821051/Study-links-large-dams-with-malaria-infections,201509,20150913,10,1,10,112,SCIENTIST,,AFRICA,AFR
70,http://aa.com.tr/en/africa/dams-increase-risk-of-malaria-infections-in-kenya/541546,201603,20160322,4,1,4,010,FARMER,,KENYA,KEN
71,http://aa.com.tr/en/africa/dams-increase-risk-of-malaria-infections-in-kenya/541546,201603,20160322,16,1,16,114,KENYA,KEN,RESIDENTS,
72,http://aa.com.tr/en/africa/malaria-epidemic-kills-more-than-4-000-in-south-sudan/887257,201708,20170818,2,1,2,010,SUDAN,SDN,SOUTH SUDAN,SSD
73,http://aa.com.tr/en/africa/malaria-epidemic-kills-more-than-4-000-in-south-sudan/887257,201708,20170818,2,1,2,112,SUDAN,SDN,SOUTH SUDAN,SSD
74,http://aa.com.tr/en/africa/malaria-epidemic-kills-more-than-4-000-in-south-sudan/887257,201708,20170818,3,1,3,010,DEPUTY,,SOUTH SUDAN,SSD
75,http://aa.com.tr/en/africa/malaria-epidemic-kills-more-than-4-000-in-south-sudan/887257,201708,20170818,8,1,8,112,DEPUTY,,SOUTH SUDAN,SSD
76,http://aa.com.tr/en/africa/malaria-epidemic-kills-more-than-4-000-in-south-sudan/887257,201708,20170818,10,1,10,043,,,MINIST OF HEALTH,
77,http://aa.com.tr/en/africa/malaria-epidemic-kills-more-than-4-000-in-south-sudan/887257,201708,20170818,10,1,10,020,NURSE,,,
78,http://aa.com.tr/en/africa/malaria-epidemic-kills-more-than-4-000-in-south-sudan/887257,201708,20170818,10,1,10,042,MINIST OF HEALTH,,,
79,http://aa.com.tr/en/economy/uk-and-bill-gates-pledge-billions-to-combat-malaria-/510178,201601,20160125,20,1,20,070,GOVERNMENT,,GATES FOUNDATION,USA
80,http://aa.com.tr/en/world/rwanda-fighting-malaria-epidemic/564513,201605,20160501,1,1,1,010,RWANDAN,RWA,MILITARY,
81,http://aa.com.tr/en/world/rwanda-fighting-malaria-epidemic/564513,201605,20160501,1,1,1,010,RWANDAN,RWA,MILITARY,
82,http://aa.com.tr/en/world/rwanda-fighting-malaria-epidemic/564513,201605,20160501,2,1,2,010,RWANDA,RWA,RWANDA,RWA
83,http://aa.com.tr/en/world/rwanda-fighting-malaria-epidemic/564513,201605,20160501,4,1,4,010,RWANDAN,RWA,KIGALI,RWA
84,http://aaj.tv/2016/05/malaria-diarrhea-sun-stroke-on-rise/,201605,20160527,8,1,8,010,PAKISTAN,PAK,,
85,http://aaj.tv/2018/04/pakistans-anti-malaria-efforts-reduced-80-incidence-of-disease-says-pm/,201804,20180419,2,1,2,060,AFGHANISTAN,AFG,IRAN,IRN
86,http://aaj.tv/2018/04/pakistans-anti-malaria-efforts-reduced-80-incidence-of-disease-says-pm/,201804,20180419,8,1,8,060,AFGHANISTAN,AFG,IRAN,IRN
87,http://aaj.tv/2018/04/pakistans-anti-malaria-efforts-reduced-80-incidence-of-disease-says-pm/,201804,20180419,10,1,10,060,IRAN,IRN,AFGHANISTAN,AFG
88,http://aajtak.intoday.in/education/story/doctor-ronald-ross-who-discovered-the-root-of-the-malaria-disease-death-anniversary-tedu-1-952686.html,201709,20170916,10,1,10,051,ENGINEER,,,
89,http://aajtak.intoday.in/story/dengue-malaria-swine-flu-reality-check-of-gtb-hospital-1-946237.html,201708,20170811,4,1,4,190,HOSPITAL,,,
90,http://aajtak.intoday.in/story/dengue-malaria-swine-flu-reality-check-of-gtb-hospital-1-946237.html,201708,20170811,6,1,6,190,DELHI,IND,HOSPITAL,
91,http://abc7news.com/health/bay-area-researchers-track-dangerous-malaria-strain-/554639/,201503,20150312,10,1,10,020,ADMINISTRATION,,POPULATION,
92,http://abcnews.go.com/Health/wireStory/italy-orders-investigation-child-dies-malaria-49629549,201709,20170905,40,4,40,1014,ITALY,ITA,,
93,http://abcnews.go.com/Health/wireStory/korea-oks-civilian-contact-north-korea-malaria-47653953,201705,20170526,2,1,2,051,SOUTH KOREA,KOR,NORTH KOREA,PRK
94,http://abcnews.go.com/Health/wireStory/superbugs-spread-vietnam-threatens-malaria-control-49993592,201709,20170921,10,1,10,020,SCIENTIST,,THAILAND,THA
95,http://abpnews.abplive.in/health-news/australian-researchers-step-closer-to-malaria-vaccine-404866/,201607,20160702,10,1,10,010,POPULATION,,,
96,http://abpnews.abplive.in/health-news/key-molecule-may-bring-malaria-vaccine-closer-581205,201703,20170321,10,1,10,090,AUSTRALIA,AUS,SCIENTIST,
97,http://abpnews.abplive.in/health-news/malaria-infection-depends-on-number-of-parasites-not-bites-538906,201701,20170114,10,1,10,012,COLLEGE,,,
98,http://abpnews.abplive.in/health-news/worlds-first-malaria-vaccine-pilot-will-run-in-2018-604277,201704,20170425,10,1,10,020,,,UNITED NATIONS,
99,http://abusidiqu.com/dogara-presents-clothes-malaria-prevention-items-abuja-idps/,201605,20160508,2,1,2,100,,,COMPANIES,
100,http://abusidiqu.com/dogara-presents-clothes-malaria-prevention-items-abuja-idps/,201605,20160508,2,1,2,030,NIGERIA,NGA,GOVERNMENT,
101,http://abusidiqu.com/dogara-presents-clothes-malaria-prevention-items-abuja-idps/,201605,20160508,8,1,8,100,,,COMPANIES,
102,http://abusidiqu.com/sokoto-administer-malaria-drugs-1-8m-kids/,201608,20160829,5,1,5,043,HEALTH PERSONNEL,,DEVELOPMENT AGENC,
103,http://abusidiqu.com/sokoto-administer-malaria-drugs-1-8m-kids/,201608,20160829,5,1,5,042,DEVELOPMENT AGENC,,HEALTH PERSONNEL,
104,http://acento.com.do/2015/actualidad/8268520-puerto-rico-descarta-propagacion-malaria-pese-a-casos-de-republica-dominicana/,201507,20150721,10,1,10,040,,,REPUBLICA DOMINICANA,DOM
105,http://acento.com.do/2015/actualidad/8268520-puerto-rico-descarta-propagacion-malaria-pese-a-casos-de-republica-dominicana/,201507,20150721,10,1,10,012,AUTHORITIES,,,
106,http://acento.com.do/2015/economia/8272942-empresarios-de-bavaro-punta-cana-afirman-causan-revuelo-innecesario-con-tema-malaria/,201508,20150806,10,1,10,172,MINIST OF HEALTH,,,
107,http://acervo.oglobo.globo.com/em-destaque/doencas-de-pobres-malaria-hanseniase-mal-de-chagasleishmaniose-resistem-22876100,201807,20180714,10,1,10,190,AUTHORITIES,,,
108,http://acervo.oglobo.globo.com/em-destaque/hanseniase-mal-de-chagas-leishmaniose-malaria-resistem-nos-paises-pobres-22876100,201807,20180728,10,1,10,190,AUTHORITIES,,,
109,http://acervo.oglobo.globo.com/incoming/hanseniase-mal-de-chagas-leishmaniose-malaria-22876720,201807,20180714,6,1,6,190,BRAZIL,BRA,,
110,http://acn.com.ve/estiman-que-medio-millon-de-venezolanos-podrian-sufrir-de-malaria-en-2017/,201703,20170305,10,1,10,061,COLOMBIA,COL,,
111,http://acn.com.ve/fondo-sida-malaria-y-tuberculosis/,201807,20180706,10,1,10,036,,,MINIST OF HEALTH,
112,http://acn.com.ve/fondo-sida-malaria-y-tuberculosis/,201807,20180706,10,1,10,036,MINIST OF HEALTH,,,
113,http://acn.com.ve/registran-15-casos-de-malaria-en-nueva-esparta/,201703,20170313,2,1,2,111,DOCTOR,,MINISTRY,
114,http://acn.com.ve/registran-15-casos-de-malaria-en-nueva-esparta/,201703,20170313,2,1,2,111,DOCTOR,,,
115,http://acn.com.ve/registran-15-casos-de-malaria-en-nueva-esparta/,201703,20170313,6,1,6,111,DOCTOR,,SWEDEN,SWE
116,http://acn.com.ve/reportan-casos-malaria-monagas-aumento-69/,201610,20161008,10,1,10,110,SCHOOL,,HOSPITAL,
117,http://acn.com.ve/sin-medicinas-casos-malaria-aumenta-pais/,201609,20160914,10,1,10,036,,,INDIGENOUS,
118,http://acn.com.ve/sin-medicinas-casos-malaria-aumenta-pais/,201609,20160914,10,1,10,036,INDIGENOUS,,,
119,http://acritica.uol.com.br/amazonia/Pesquisadores-constroem-sentinela-monitorar-malaria_0_1500449970.html,201601,20160108,10,1,10,051,GOVERNMENT,,FRENCH,FRA
120,http://adaderana.lk/news/36988/pakistan-urged-to-emulate-sri-lankas-malaria-eradication-success,201609,20160917,2,1,2,031,DOCTOR,,GOVERNMENT,
121,http://adaderana.lk/news/36988/pakistan-urged-to-emulate-sri-lankas-malaria-eradication-success,201609,20160917,2,1,2,031,DOCTOR,,GOVERNMENT,
122,http://adaderana.lk/news/36988/pakistan-urged-to-emulate-sri-lankas-malaria-eradication-success,201609,20160917,3,1,3,013,SRI LANKAN,LKA,SRI LANKA,LKA
123,http://adaderana.lk/news/36988/pakistan-urged-to-emulate-sri-lankas-malaria-eradication-success,201609,20160917,3,1,3,014,SRI LANKAN,LKA,SRI LANKA,LKA
124,http://adaderana.lk/news/36988/pakistan-urged-to-emulate-sri-lankas-malaria-eradication-success,201609,20160917,6,1,6,031,DOCTOR,,GOVERNMENT,
125,http://adaderana.lk/news/36988/pakistan-urged-to-emulate-sri-lankas-malaria-eradication-success,201609,20160917,10,1,10,020,PAKISTAN,PAK,SRI LANKA,LKA
126,http://addisfortune.net/columns/a-malaria-free-africa-is-within-reach/,201702,20170227,5,1,5,062,,,FINANCE MINIST,
127,http://addisfortune.net/columns/a-malaria-free-africa-is-within-reach/,201702,20170227,5,1,5,062,FINANCE MINIST,,,
128,http://addisfortune.net/columns/uniting-against-malaria/,201705,20170503,5,1,5,010,AFRICA,AFR,,
129,http://addisfortune.net/columns/uniting-against-malaria/,201705,20170503,5,1,5,190,AFRICA,AFR,,
130,http://addisfortune.net/columns/uniting-against-malaria/,201705,20170503,10,1,10,110,AFRICA,AFR,,
131,http://adelove.com/2017/04/26/u-s-names-dangote-gov-yari-as-malaria-ambassadors-in-nigeria/,201704,20170426,1,1,1,014,GOVERNMENT,,UNITED STATES OF AMERICA,USA
132,http://adelove.com/2017/04/26/u-s-names-dangote-gov-yari-as-malaria-ambassadors-in-nigeria/,201704,20170426,2,1,2,051,MINIST,,UNITED STATES,USA
133,http://adelove.com/2017/04/26/u-s-names-dangote-gov-yari-as-malaria-ambassadors-in-nigeria/,201704,20170426,2,1,2,051,MINIST,,UNITED STATES,USA
134,http://adelove.com/2017/04/26/u-s-names-dangote-gov-yari-as-malaria-ambassadors-in-nigeria/,201704,20170426,2,1,2,112,NIGERIA,NGA,,
135,http://adelove.com/2017/04/26/u-s-names-dangote-gov-yari-as-malaria-ambassadors-in-nigeria/,201704,20170426,4,1,4,070,NIGERIA,NGA,,
136,http://adelove.com/2017/04/26/u-s-names-dangote-gov-yari-as-malaria-ambassadors-in-nigeria/,201704,20170426,6,1,6,051,MINIST,,UNITED STATES,USA
137,http://adelove.com/2017/04/26/u-s-names-dangote-gov-yari-as-malaria-ambassadors-in-nigeria/,201704,20170426,6,1,6,070,AMBASSADOR,,NIGERIA,NGA
138,http://adelove.com/2017/09/29/malaria-cases-drop-27-nigeria-minister/,201709,20170929,4,1,4,010,NIGERIA,NGA,,
139,http://adelove.com/2017/09/29/malaria-cases-drop-27-nigeria-minister/,201709,20170929,5,1,5,030,,,GOVERNMENT,
140,http://adelove.com/2018/05/05/no-nigerianll-die-of-malaria-by-2020-fg/,201805,20180505,2,1,2,130,GUINEA,GIN,,
141,http://adelove.com/2018/05/05/no-nigerianll-die-of-malaria-by-2020-fg/,201805,20180505,2,1,2,072,GUINEA,GIN,,
142,http://adelove.com/2018/05/05/no-nigerianll-die-of-malaria-by-2020-fg/,201805,20180505,2,1,2,172,NIGERIA,NGA,GOVERNMENT,
143,http://adelove.com/2018/05/05/no-nigerianll-die-of-malaria-by-2020-fg/,201805,20180505,3,1,3,172,GOVERNMENT,,,
144,http://adelove.com/2018/05/05/no-nigerianll-die-of-malaria-by-2020-fg/,201805,20180505,4,1,4,030,GOVERNMENT,,NIGERIAN,NGA
145,http://adelove.com/2018/05/05/no-nigerianll-die-of-malaria-by-2020-fg/,201805,20180505,6,1,6,030,GOVERNMENT,,NIGERIAN,NGA
146,http://adelove.com/2018/05/05/no-nigerianll-die-of-malaria-by-2020-fg/,201805,20180505,8,1,8,072,GUINEA,GIN,,
147,http://adelove.com/2018/05/05/no-nigerianll-die-of-malaria-by-2020-fg/,201805,20180505,8,1,8,130,GUINEA,GIN,,
148,http://adelove.com/2018/05/05/no-nigerianll-die-of-malaria-by-2020-fg/,201805,20180505,10,1,10,020,DOCTOR,,,
149,http://adelove.com/2018/05/05/no-nigerianll-die-of-malaria-by-2020-fg/,201805,20180505,10,1,10,073,GOVERNMENT,,NIGERIA,NGA
150,http://advocator.ca/news/south-african-scientist-has-come-up-with-a-malaria-scanner/1380,201804,20180408,2,1,2,020,SOUTH AFRICAN,ZAF,,
151,http://advocator.ca/news/south-african-scientist-has-come-up-with-a-malaria-scanner/1380,201804,20180408,4,1,4,020,AFRICA,AFR,,
152,http://advocator.ca/news/south-african-scientist-has-come-up-with-a-malaria-scanner/1380,201804,20180408,4,1,4,020,SOUTH AFRICAN,ZAF,AFRICA,AFR
153,http://afkinsider.com/100389/ugandan-malaria-app-inventors-to-get-55000-funding-from-president-museveni/,201507,20150721,10,1,10,071,UGANDAN,UGA,YOWERI MUSEVENI,UGA
154,http://afkinsider.com/100389/ugandan-malaria-app-inventors-to-get-55000-funding-from-president-museveni/,201507,20150721,10,1,10,071,MUSEVENI,UGA,AFRICA,AFR
155,http://afkinsider.com/100957/worlds-first-malaria-vaccine-will-be-not-for-profit-drug-maker-says/,201507,20150729,2,1,2,013,BURKINA FASO,BFA,REUTERS,USA
156,http://afkinsider.com/100957/worlds-first-malaria-vaccine-will-be-not-for-profit-drug-maker-says/,201507,20150729,20,1,10,020,EUROPEAN,EUR,,
157,http://afkinsider.com/103540/drop-in-african-malaria-rates-attributed-to-low-tech-mosquito-net/,201509,20150918,10,1,10,012,WORLD HEALTH ORGANIZATION,,UNICEF,
158,http://afkinsider.com/106399/12-things-know-fight-malaria-africa/,201511,20151125,5,1,5,112,AFRICA,AFR,,
159,http://afkinsider.com/106399/12-things-know-fight-malaria-africa/,201511,20151125,5,1,5,042,TOURIST,,AFRICA,AFR
160,http://afkinsider.com/106399/12-things-know-fight-malaria-africa/,201511,20151125,5,1,5,042,TOURIST,,AFRICA,AFR
161,http://afkinsider.com/106399/12-things-know-fight-malaria-africa/,201511,20151125,10,1,10,043,AFRICA,AFR,TOURIST,
162,http://afkinsider.com/122353/drone-delivery-sterile-flies-could-help-eliminate-sleeping-sickness-malaria/,201603,20160330,10,1,10,036,SCIENTIST,,WORLD HEALTH ORGANIZATION,
163,http://afkinsider.com/124056/6-african-countries-targeted-for-malaria-eradication-by-2020/,201604,20160425,5,1,5,042,AFRICA,AFR,ENTREPRENEUR,
164,http://afkinsider.com/124056/6-african-countries-targeted-for-malaria-eradication-by-2020/,201604,20160425,5,1,5,043,ENTREPRENEUR,,AFRICA,AFR
165,http://afkinsider.com/138555/youthful-entrepreneur-uses-green-waste-recovery-to-fight-malaria-in-madagascar/,201703,20170325,1,1,1,071,MADAGASCAR,MDG,COLLEGE,
166,http://afkinsider.com/138555/youthful-entrepreneur-uses-green-waste-recovery-to-fight-malaria-in-madagascar/,201703,20170325,1,1,1,071,MADAGASCAR,MDG,COLLEGE,
